id,pop,Region,sex,Date_sampled,TOTAL_LENGTH_mm,DUP,Full_sib,Half_sib,Parent_offspring
CL-FIJ006-F,Fiji,Fiji,F,23/08/2016,NA,NA,FSP019,NA,NA
CL-FIJ007-F,Fiji,Fiji,F,9/08/2017,NA,NA,NA,NA,NA
CL-FIJ008-F,Fiji,Fiji,F,5/12/2016,NA,NA,FSP019,NA,NA
CL-FIJ009-F,Fiji,Fiji,F,8/08/2016,NA,NA,NA,NA,NA
CL-FIJ010-F,Fiji,Fiji,F,15/08/2016,NA,NA,NA,NA,NA
CL-FIJ012-M,Fiji,Fiji,M,16/03/2017,NA,DUP012,NA,NA,NA
CL-FIJ014-F,Fiji,Fiji,F,13/02/2017,NA,NA,NA,NA,NA
CL-FIJ015-F,Fiji,Fiji,F,4/11/2016,NA,NA,NA,NA,NA
CL-FIJ016-M,Fiji,Fiji,M,21/08/2017,NA,NA,NA,NA,NA
CL-FIJ018-F,Fiji,Fiji,F,5/09/2016,NA,NA,NA,NA,NA
CL-FIJ019-F,Fiji,Fiji,F,19/01/2017,NA,NA,NA,NA,NA
CL-FIJ020-F,Fiji,Fiji,F,24/11/2016,NA,NA,NA,NA,NA
CL-FIJ021-F,Fiji,Fiji,F,4/10/2016,NA,NA,NA,NA,NA
CL-FIJ022-F,Fiji,Fiji,F,19/11/2016,NA,DUP013,NA,NA,NA
CL-FIJ023-F,Fiji,Fiji,F,12/09/2016,NA,DUP011,NA,NA,NA
CL-FIJ024-F,Fiji,Fiji,F,25/06/2016,NA,DUP013,NA,NA,NA
CL-FIJ026-F,Fiji,Fiji,F,30/09/2016,NA,NA,NA,NA,NA
CL-FIJ027-F,Fiji,Fiji,F,23/10/2016,NA,NA,NA,NA,NA
CL-FIJ029-F,Fiji,Fiji,F,29/08/2016,NA,NA,NA,NA,NA
CL-FIJ031-F,Fiji,Fiji,F,19/08/2017,NA,NA,NA,NA,NA
CL-GOM001-F,Gulf of Mexico,W-ATL,F,17/07/2011,2050,NA,NA,NA,NA
CL-GOM002-F,Gulf of Mexico,W-ATL,F,18/07/2014,2260,NA,NA,NA,NA
CL-GOM003-F,Gulf of Mexico,W-ATL,F,2/05/2015,1120,NA,NA,NA,NA
CL-GOM004-F,Gulf of Mexico,W-ATL,F,2/05/2015,1149,NA,NA,NA,NA
CL-GOM005-F,Gulf of Mexico,W-ATL,F,27/05/2015,1775,NA,NA,NA,NA
CL-GOM006-M,Gulf of Mexico,W-ATL,M,27/05/2015,1850,NA,NA,NA,NA
CL-GOM007-M,Gulf of Mexico,W-ATL,M,20/09/2015,1825,NA,NA,NA,NA
CL-GOM008-F,Gulf of Mexico,W-ATL,F,7/04/2016,1025,NA,NA,NA,NA
CL-GOM009-M,Gulf of Mexico,W-ATL,M,7/04/2016,1025,NA,NA,NA,NA
CL-GOM010-F,Gulf of Mexico,W-ATL,F,9/07/2016,764,NA,NA,NA,NA
CL-GOM011-F,Gulf of Mexico,W-ATL,F,9/07/2016,841,NA,NA,NA,NA
CL-GOM012-F,Gulf of Mexico,W-ATL,F,9/07/2016,850,NA,NA,NA,NA
CL-GOM013-M,Gulf of Mexico,W-ATL,M,9/07/2016,749,NA,NA,NA,NA
CL-GOM014-F,Gulf of Mexico,W-ATL,F,9/07/2016,808,NA,NA,NA,NA
CL-GOM016-F,Gulf of Mexico,W-ATL,F,9/07/2016,808,NA,NA,NA,NA
CL-GOM017-F,Gulf of Mexico,W-ATL,F,9/07/2016,784,NA,NA,NA,NA
CL-GOM018-M,Gulf of Mexico,W-ATL,M,9/07/2016,707,NA,NA,NA,NA
CL-GOM020-M,Gulf of Mexico,W-ATL,M,9/07/2016,772,NA,NA,NA,NA
CL-GOM022-M,Gulf of Mexico,W-ATL,M,9/07/2016,777,NA,NA,NA,NA
CL-GOM023-M,Gulf of Mexico,W-ATL,M,9/07/2016,770,NA,NA,NA,NA
CL-GOM024-F,Gulf of Mexico,W-ATL,F,9/07/2016,770,NA,NA,NA,NA
CL-GOM025-F,Gulf of Mexico,W-ATL,F,9/07/2016,838,NA,NA,NA,NA
CL-GOM026-M,Gulf of Mexico,W-ATL,M,9/07/2016,724,NA,NA,NA,NA
CL-GOM032-F,Gulf of Mexico,W-ATL,F,9/07/2016,789,NA,NA,NA,NA
CL-GOM033-M,Gulf of Mexico,W-ATL,M,9/07/2016,752,NA,NA,NA,NA
CL-GOM034-M,Gulf of Mexico,W-ATL,M,9/07/2016,736,NA,NA,NA,NA
CL-GOM036-M,Gulf of Mexico,W-ATL,M,9/07/2016,781,NA,NA,NA,NA
CL-GOM038-M,Gulf of Mexico,W-ATL,M,9/07/2016,792,NA,NA,NA,NA
CL-GOM040-F,Gulf of Mexico,W-ATL,F,26/09/2016,1800,NA,NA,NA,NA
CL-GOM041-F,Gulf of Mexico,W-ATL,F,7/04/2017,1020,NA,NA,NA,NA
CL-GOM042-M,Gulf of Mexico,W-ATL,M,7/04/2017,1023,NA,NA,NA,NA
CL-GOM043-M,Gulf of Mexico,W-ATL,M,10/04/2017,1150,NA,NA,NA,NA
CL-GOM044-F,Gulf of Mexico,W-ATL,F,10/04/2017,1285,NA,NA,NA,NA
CL-GOM045-M,Gulf of Mexico,W-ATL,M,10/04/2017,1170,NA,NA,NA,NA
CL-GOM046-F,Gulf of Mexico,W-ATL,F,10/04/2017,1220,NA,NA,NA,NA
CL-GOM047-M,Gulf of Mexico,W-ATL,M,10/04/2017,1170,NA,NA,NA,NA
CL-GOM048-M,Gulf of Mexico,W-ATL,M,10/04/2017,1700,NA,NA,NA,NA
CL-GOM050-M,Gulf of Mexico,W-ATL,M,10/04/2017,1430,NA,NA,NA,NA
CL-GOM054-F,Gulf of Mexico,W-ATL,F,19/07/1986,2670,NA,NA,NA,NA
CL-IND003-U,Indonesia,E-IO,U,12/03/2004,NA,NA,NA,NA,NA
CL-IND004-U,Indonesia,E-IO,U,12/03/2004,NA,NA,FS003,NA,PO002
CL-IND005-U,Indonesia,E-IO,U,12/03/2004,NA,NA,NA,NA,NA
CL-IND006-U,Indonesia,E-IO,U,12/03/2004,NA,NA,FS003,NA,PO002
CL-IND007-U,Indonesia,E-IO,U,12/03/2004,NA,NA,NA,NA,NA
CL-IND008-F,Indonesia,E-IO,F,1/02/2019,940,NA,NA,NA,NA
CL-JAP001-M,Japan,Japan,M,NA,NA,NA,NA,NA,NA
CL-JAP002-F,Japan,Japan,F,NA,2476,NA,NA,NA,NA
CL-JAP003-F,Japan,Japan,F,NA,2530,NA,NA,NA,NA
CL-JAP004-M,Japan,Japan,M,NA,1330,NA,NA,NA,NA
CL-JAP005-F,Japan,Japan,F,NA,1550,NA,NA,NA,NA
CL-JAP006-F,Japan,Japan,F,NA,1880,NA,NA,NA,NA
CL-JAP007-M,Japan,Japan,M,NA,1930,NA,NA,NA,NA
CL-JAP008-F,Japan,Japan,F,NA,1860,NA,NA,NA,NA
CL-JAP009-F,Japan,Japan,F,NA,2016,NA,NA,NA,NA
CL-JAP010-F,Japan,Japan,F,30/09/2017,1500,NA,NA,NA,NA
CL-JAP011-F,Japan,Japan,F,14/05/2014,1102,NA,NA,NA,NA
CL-JAP012-M,Japan,Japan,M,14/05/2014,1053,NA,NA,NA,NA
CL-JAP013-M,Japan,Japan,M,26/06/2014,1050,NA,NA,NA,NA
CL-JAP014-F,Japan,Japan,F,26/06/2014,785,NA,NA,NA,NA
CL-JAP015-F,Japan,Japan,F,26/06/2014,810,NA,NA,NA,NA
CL-JAP016-F,Japan,Japan,F,26/06/2014,761,NA,NA,NA,NA
CL-JAP017-M,Japan,Japan,M,26/06/2014,780,NA,NA,NA,NA
CL-JAP018-M,Japan,Japan,M,26/06/2014,732,NA,NA,NA,NA
CL-JAP019-F,Japan,Japan,F,14/07/2014,NA,DUP014,NA,NA,NA
CL-JAP020-M,Japan,Japan,M,14/07/2014,NA,NA,NA,NA,NA
CL-JAP021-F,Japan,Japan,F,13/08/2014,NA,NA,NA,NA,NA
CL-JAP022-M,Japan,Japan,M,10/09/2014,NA,NA,NA,NA,NA
CL-JAP023-M,Japan,Japan,M,10/09/2014,NA,NA,NA,NA,NA
CL-JAP024-F,Japan,Japan,F,10/09/2014,NA,NA,NA,NA,NA
CL-JAP025-F,Japan,Japan,F,10/09/2014,NA,NA,NA,NA,NA
CL-JAP026-M,Japan,Japan,M,10/09/2014,NA,NA,NA,NA,NA
CL-JAP027-M,Japan,Japan,M,15/06/2015,1070,NA,NA,NA,NA
CL-JAP028-M,Japan,Japan,M,28/06/2016,NA,NA,NA,NA,NA
CL-JAP029-M,Japan,Japan,M,28/06/2016,NA,NA,NA,NA,NA
CL-JAP030-F,Japan,Japan,F,28/06/2016,NA,NA,NA,NA,NA
CL-JAP031-M,Japan,Japan,M,28/06/2016,830,NA,NA,NA,NA
CL-JAP032-M,Japan,Japan,M,28/06/2016,NA,NA,NA,NA,NA
CL-JAP033-M,Japan,Japan,M,28/06/2016,NA,NA,NA,NA,NA
CL-JAP034-F,Japan,Japan,F,28/06/2016,NA,NA,NA,NA,NA
CL-JAP035-F,Japan,Japan,F,23/07/2016,750,DUP014,NA,NA,NA
CL-JAP036-F,Japan,Japan,F,23/07/2016,NA,NA,NA,NA,NA
CL-JAP037-F,Japan,Japan,F,23/07/2016,NA,NA,NA,NA,NA
CL-JAP038-M,Japan,Japan,M,23/07/2016,NA,NA,NA,NA,NA
CL-JAP039-F,Japan,Japan,F,23/07/2016,NA,NA,NA,NA,NA
CL-JAP040-F,Japan,Japan,F,23/07/2016,NA,NA,NA,NA,NA
CL-JAP041-F,Japan,Japan,F,15/08/2016,NA,NA,NA,NA,NA
CL-JAP042-M,Japan,Japan,M,15/08/2016,NA,NA,NA,NA,NA
CL-JAP043-M,Japan,Japan,M,22/06/2017,952,NA,NA,NA,NA
CL-JAP044-F,Japan,Japan,F,26/06/2018,NA,NA,NA,NA,NA
CL-JAP045-F,Japan,Japan,F,26/06/2018,NA,NA,NA,NA,NA
CL-JAP046-F,Japan,Japan,F,26/06/2018,NA,NA,NA,NA,NA
CL-JAP047-F,Japan,Japan,F,26/06/2018,NA,NA,NA,NA,NA
CL-JAP049-M,Japan,Japan,M,26/06/2018,NA,NA,NA,NA,NA
CLL001-F,Australia,E-IO,F,4/03/2013,764,NA,NA,NA,NA
CLL002,Australia,E-IO,F,5/03/2013,748,NA,NA,NA,NA
CLL003-F,Australia,E-IO,F,22/03/2013,727,NA,NA,HS009,NA
CLL005-F,Australia,E-IO,F,31/05/2013,820,NA,NA,NA,NA
CLL006-F,Australia,E-IO,F,31/05/2013,805,NA,NA,NA,NA
CLL007-F,Australia,E-IO,F,29/06/2013,958,NA,NA,NA,NA
CLL008-M,Australia,E-IO,M,29/07/2013,862,NA,NA,NA,NA
CLL009-M,Australia,E-IO,M,21/12/2013,800,NA,NA,NA,NA
CLL010-F,Australia,E-IO,F,21/12/2013,770,NA,NA,NA,NA
CLL011-M,Australia,E-IO,M,21/12/2013,765,NA,NA,NA,NA
CLL012-M,Australia,E-IO,M,21/12/2013,775,NA,NA,NA,NA
CLL013-F,Australia,E-IO,F,21/12/2013,673,NA,NA,NA,NA
CLL015-F,Australia,E-IO,F,21/12/2013,715,NA,NA,HS017,NA
CLL016,Australia,E-IO,M,18/11/2015,1500,NA,NA,NA,NA
CLL017-M,Australia,E-IO,M,22/12/2015,750,NA,NA,NA,NA
CLL018-,Australia,E-IO,U,NA,NA,NA,NA,NA,NA
CL-MOZ001-M,Mozambique,W-IO,M,21/01/2012,2500,NA,NA,NA,NA
CL-MOZ002-F,Mozambique,W-IO,F,23/01/2012,2200,NA,NA,NA,NA
CL-MOZ003-M,Mozambique,W-IO,M,30/01/2012,2600,NA,NA,NA,NA
CL-MOZ004-F,Mozambique,W-IO,F,2/02/2012,2800,NA,NA,NA,NA
CL-MOZ005-M,Mozambique,W-IO,M,23/11/2012,2820,NA,NA,NA,NA
CL-MOZ010-M,Mozambique,W-IO,M,20/12/2012,2640,NA,NA,NA,NA
CL-MOZ011-F,Mozambique,W-IO,F,24/01/2013,2500,NA,NA,NA,NA
CL-MOZ013-M,Mozambique,W-IO,M,29/01/2013,1950,NA,NA,NA,NA
CL-MOZ014-F,Mozambique,W-IO,F,30/01/2013,2510,NA,NA,NA,NA
CL-MOZ015-M,Mozambique,W-IO,M,31/01/2013,2830,NA,NA,NA,NA
CL-MOZ017-F,Mozambique,W-IO,F,18/02/2013,2410,NA,NA,NA,NA
CL-MOZ018-M,Mozambique,W-IO,M,19/02/2013,2510,NA,NA,NA,NA
CL-NWA008-F,Western North Atlantic,W-ATL,F,4/07/1987,2450,NA,NA,NA,NA
CL-NWA009-F,Western North Atlantic,W-ATL,F,4/07/1987,2230,NA,NA,NA,NA
CL-NWA010-M,Western North Atlantic,W-ATL,M,7/07/1987,2310,NA,NA,NA,NA
CL-NWA011-M,Western North Atlantic,W-ATL,M,8/07/1987,2380,NA,NA,NA,NA
CL-NWA012-F,Western North Atlantic,W-ATL,F,8/07/1987,2540,NA,NA,NA,NA
CL-NWA013-F,Western North Atlantic,W-ATL,F,8/07/1987,2235,NA,NA,NA,NA
CL-NWA014-F,Western North Atlantic,W-ATL,F,28/09/2015,2020,NA,NA,NA,NA
CL-NWA015-F,Western North Atlantic,W-ATL,F,28/09/2015,2200,NA,NA,NA,NA
CL-PNG001-U,Papua New Guinea,E-IO,U,5/12/2018,NA,NA,NA,NA,NA
CL-PNG002-U,Papua New Guinea,E-IO,U,5/12/2018,NA,NA,NA,NA,NA
CL-PNG004-U,Papua New Guinea,E-IO,U,16/11/2018,NA,NA,NA,NA,NA
CL-PNG005-U,Papua New Guinea,E-IO,U,16/11/2018,NA,NA,NA,NA,NA
CL-PNG006-U,Papua New Guinea,E-IO,U,NA,NA,NA,NA,NA,NA
CL-PNG007-U,Papua New Guinea,E-IO,F,19/10/2019,NA,NA,NA,HS003,NA
CL-PNG008-U,Papua New Guinea,E-IO,F,19/10/2019,NA,NA,NA,HS003,NA
CL-PNG009-U,Papua New Guinea,E-IO,F,18/10/2019,NA,DUP015,NA,NA,NA
CL-PNG010-U,Papua New Guinea,E-IO,F,18/10/2019,NA,NA,NA,NA,NA
CL-PNG011-U,Papua New Guinea,E-IO,F,18/10/2019,NA,DUP015,NA,NA,NA
CL-PNG016-U,Papua New Guinea,E-IO,M,20/10/2019,NA,NA,NA,NA,NA
CL-PNG017-U,Papua New Guinea,E-IO,M,20/10/2019,NA,NA,NA,NA,NA
CLR001-M,Australia,E-IO,M,26/07/2002,810,NA,NA,NA,NA
CLR002,Australia,E-IO,F,26/07/2002,802,NA,NA,NA,NA
CLR004-F,Australia,E-IO,F,26/07/2002,786,NA,NA,NA,NA
CLR006-F,Australia,E-IO,F,26/07/2002,860,NA,NA,NA,NA
CLR007-M,Australia,E-IO,M,27/07/2002,774,NA,NA,NA,NA
CLR008,Australia,E-IO,F,26/07/2002,770,NA,NA,NA,NA
CLR009-M,Australia,E-IO,M,26/07/2002,814,NA,NA,NA,NA
CLR010,Australia,E-IO,M,26/07/2002,866,NA,NA,NA,NA
CL-RUN001-F,Reunion,W-IO,F,6/06/2013,460,NA,NA,NA,NA
CL-RUN002-F,Reunion,W-IO,F,29/11/2012,1830,NA,NA,HS020,NA
CL-RUN003-F,Reunion,W-IO,F,6/01/2013,1880,NA,NA,NA,NA
CL-RUN004-F,Reunion,W-IO,F,26/08/2014,670,NA,NA,NA,NA
CL-RUN005-F,Reunion,W-IO,F,17/09/2014,1800,NA,NA,NA,NA
CL-RUN006-F,Reunion,W-IO,F,2/06/2015,460,NA,NA,NA,NA
CL-RUN007-M,Reunion,W-IO,M,NA,970,NA,FS001,HS021,NA
CL-RUN008-M,Reunion,W-IO,M,15/06/2015,1590,NA,NA,NA,NA
CL-RUN009-M,Reunion,W-IO,M,7/10/2015,1540,NA,NA,NA,NA
CL-RUN010-F,Reunion,W-IO,F,7/10/2015,1370,NA,NA,NA,NA
CL-RUN011-F,Reunion,W-IO,F,22/10/2015,720,NA,NA,NA,NA
CL-RUN012-F,Reunion,W-IO,F,17/12/2015,700,NA,NA,NA,NA
CL-RUN013-M,Reunion,W-IO,M,1/12/2016,690,NA,NA,NA,NA
CL-RUN014-M,Reunion,W-IO,M,12/01/2016,1970,NA,NA,NA,NA
CL-RUN015-M,Reunion,W-IO,M,21/03/2016,1250,DUP001,FS002,HS022,NA
CL-RUN016-M,Reunion,W-IO,M,21/03/2016,1270,DUP001,FS002,HS022,NA
CL-RUN017-M,Reunion,W-IO,M,15/03/2016,264,NA,NA,NA,NA
CL-RUN019-F,Reunion,W-IO,F,21/03/2016,1180,NA,NA,NA,NA
CL-RUN020-F,Reunion,W-IO,F,17/02/2016,1160,NA,FS001,HS021,NA
CL-RUN021-M,Reunion,W-IO,M,21/03/2016,1230,NA,NA,HS020,NA
CL-RUN023-M,Reunion,W-IO,M,27/10/2016,1810,NA,NA,NA,NA
CL-RUN024-M,Reunion,W-IO,M,27/10/2016,740,NA,NA,HS021,NA
CL-RUN025-F,Reunion,W-IO,F,30/10/2016,750,NA,NA,HS020,NA
CL-RUN026-M,Reunion,W-IO,M,29/11/2016,743,NA,NA,HS022,NA
CL-RUN027-M,Reunion,W-IO,M,31/10/2016,1010,NA,NA,NA,NA
CL-RUN028-M,Reunion,W-IO,M,26/04/2017,385,NA,NA,NA,NA
CL-RUN029-F,Reunion,W-IO,F,16/05/2017,410,NA,NA,NA,NA
CL-RUN030-M,Reunion,W-IO,M,18/05/2017,1910,NA,NA,NA,NA
CLSA004-M,Australia,E-IO,M,23/01/2012,923,NA,NA,HS005,NA
CLSA005-F,Australia,E-IO,F,23/01/2012,760,NA,NA,NA,NA
CLSA006-M,Australia,E-IO,M,23/01/2012,1035,NA,NA,NA,NA
CL-SAF001-M,South Africa,W-IO,M,1/01/1992,2750,NA,NA,NA,NA
CL-SAF002-F,South Africa,W-IO,F,31/01/1987,3030,NA,NA,NA,NA
CL-SAF003-M,South Africa,W-IO,M,16/02/2009,NA,NA,NA,NA,NA
CL-SAF004-M,South Africa,W-IO,M,30/11/2010,NA,NA,NA,NA,NA
CL-SAF005-M,South Africa,W-IO,M,29/05/2011,NA,NA,NA,NA,NA
CL-SAF006-M,South Africa,W-IO,M,14/02/2011,NA,NA,NA,NA,NA
CL-SAF008-M,South Africa,W-IO,M,31/03/2014,NA,NA,NA,NA,NA
CL-SAF009-M,South Africa,W-IO,M,9/06/2010,NA,NA,NA,NA,NA
CL-SAF010-F,South Africa,W-IO,F,2/08/2010,NA,NA,NA,NA,NA
CL-SAF011-M,South Africa,W-IO,M,30/05/2011,NA,NA,NA,NA,NA
CL-SAF012-M,South Africa,W-IO,M,3/12/2012,NA,NA,NA,NA,NA
CL-SAF014-M,South Africa,W-IO,M,6/12/2013,NA,NA,NA,NA,NA
CL-SAF015-F,South Africa,W-IO,F,6/12/2013,NA,NA,NA,NA,NA
CL-SAF016-M,South Africa,W-IO,M,14/04/2014,NA,NA,NA,NA,NA
CL-SAF018-U,South Africa,W-IO,U,NA,NA,NA,NA,NA,NA
CL-SAF019-F,South Africa,W-IO,F,14/06/2011,NA,NA,NA,NA,NA
CL-SAF020-F,South Africa,W-IO,F,13/06/2011,NA,NA,NA,NA,NA
CL-SAF021-M,South Africa,W-IO,M,13/12/2012,NA,NA,NA,NA,NA
CL-SAF022-F,South Africa,W-IO,F,14/12/2012,NA,NA,NA,NA,NA
CL-SAF023-F,South Africa,W-IO,F,19/05/2009,NA,NA,NA,NA,NA
CL-SAF024-F,South Africa,W-IO,F,6/11/2012,NA,NA,NA,NA,NA
CL-SAF025-F,South Africa,W-IO,F,18/01/2013,NA,NA,NA,NA,NA
CL-SAF026-F,South Africa,W-IO,F,26/10/2009,NA,NA,NA,NA,NA
CL-SAF027-M,South Africa,W-IO,M,24/01/2012,NA,NA,NA,NA,NA
CL-SAF028-M,South Africa,W-IO,M,14/03/2013,NA,NA,NA,NA,NA
CL-SAF029-F,South Africa,W-IO,F,8/04/2013,NA,NA,NA,NA,NA
CL-SAF031-M,South Africa,W-IO,M,14/01/2015,NA,NA,NA,NA,NA
CL-SAF032-U,South Africa,W-IO,U,NA,NA,NA,NA,NA,NA
CL-SEY002-F,Seychelles,W-IO,F,23/05/2013,2500,NA,NA,NA,NA
CL-SEY003-F,Seychelles,W-IO,F,20/03/2014,2700,NA,NA,NA,NA
CL-SEY004-F,Seychelles,W-IO,F,6/07/2014,2930,NA,NA,NA,NA
CL-SEY005-F,Seychelles,W-IO,F,19/07/2014,1710,NA,NA,NA,NA
CL-SEY006-F,Seychelles,W-IO,F,6/03/2014,2640,NA,NA,NA,NA
CL-SEY007-M,Seychelles,W-IO,M,4/06/2014,2500,NA,NA,NA,NA
CL-SEY008-F,Seychelles,W-IO,F,20/03/2014,2970,NA,NA,NA,NA
CL-SEY009-M,Seychelles,W-IO,M,23/06/2014,1290,NA,NA,NA,NA
CL-SEY011-M,Seychelles,W-IO,M,29/04/2014,1480,NA,NA,NA,NA
CL-SEY012-M,Seychelles,W-IO,M,23/06/2014,1540,NA,NA,NA,NA
CL-SEY013-F,Seychelles,W-IO,F,2/07/2014,2230,NA,NA,NA,NA
CL-SEY014-F,Seychelles,W-IO,F,20/05/2014,2330,NA,NA,NA,NA
CL-SEY015-F,Seychelles,W-IO,F,20/03/2014,2895,NA,NA,NA,NA
CL-SEY016-F,Seychelles,W-IO,F,20/03/2014,2800,NA,NA,NA,NA
CL-SEY017-F,Seychelles,W-IO,F,21/06/2014,1165,NA,NA,NA,NA
CL-SEY018-F,Seychelles,W-IO,F,23/01/2015,1495,NA,NA,NA,NA
CL-SEY019-F,Seychelles,W-IO,F,4/03/2015,2650,NA,NA,NA,NA
CL-SEY020-F,Seychelles,W-IO,F,14/07/2015,1325,NA,NA,NA,NA
CL-SEY021-F,Seychelles,W-IO,F,14/07/2015,1535,NA,NA,HS001,NA
CL-SEY022-F,Seychelles,W-IO,F,14/07/2015,1305,NA,NA,NA,NA
CL-SEY023-F,Seychelles,W-IO,F,15/07/2015,1045,NA,NA,NA,NA
CL-SEY024-M,Seychelles,W-IO,M,18/07/2015,1030,NA,NA,HS001,NA
CL-SEY025-F,Seychelles,W-IO,F,20/07/2015,1050,NA,NA,HS002,NA
CL-SEY026-M,Seychelles,W-IO,M,5/08/2015,1295,NA,NA,NA,NA
CL-SEY028-F,Seychelles,W-IO,F,14/08/2015,1230,NA,NA,NA,NA
CL-SEY029-F,Seychelles,W-IO,F,17/08/2015,1345,NA,NA,NA,NA
CL-SEY030-M,Seychelles,W-IO,M,15/10/2015,1610,NA,NA,NA,NA
CL-SEY031-F,Seychelles,W-IO,F,15/10/2015,2670,NA,NA,NA,NA
CL-SEY032-M,Seychelles,W-IO,M,17/10/2015,1140,NA,NA,NA,NA
CL-SEY033-F,Seychelles,W-IO,F,17/10/2015,1180,NA,NA,NA,NA
CL-SEY034-F,Seychelles,W-IO,F,17/10/2015,1062.5,NA,NA,NA,NA
CL-SEY035-F,Seychelles,W-IO,F,17/10/2015,1125,NA,NA,NA,NA
CL-SEY036-F,Seychelles,W-IO,F,26/11/2015,1105,NA,NA,HS002,NA
CL-SEY037-F,Seychelles,W-IO,F,12/02/2016,3130,NA,NA,NA,NA
CL-SEY038-F,Seychelles,W-IO,F,8/04/2016,2560,NA,NA,NA,NA
CL-SEY039-F,Seychelles,W-IO,F,8/04/2016,2930,NA,NA,NA,NA
CLSH002-M,Australia,W-PAC,M,8/02/2010,2400,NA,NA,NA,NA
CLSH003-M,Australia,W-PAC,M,24/01/2010,2350,NA,NA,NA,NA
CLSH004-M,Australia,W-PAC,M,17/02/2010,2200,NA,NA,NA,NA
CLSH005-M,Australia,W-PAC,M,24/02/2010,2760,NA,NA,NA,NA
CLSH007,Australia,W-PAC,M,1/02/2011,2600,NA,NA,NA,NA
CLSH008-F,Australia,W-PAC,F,4/02/2011,2640,DUP010,NA,NA,NA
CLSH009-F,Australia,W-PAC,F,12/02/2011,2740,NA,NA,NA,NA
CLSH010-F,Australia,W-PAC,F,11/01/2011,3220,NA,NA,HS026,NA
CLSH011-M,Australia,W-PAC,M,11/01/2011,2820,NA,NA,NA,NA
CLSH012-M,Australia,W-PAC,M,11/01/2011,2750,NA,NA,NA,NA
CLSH014-M,Australia,W-PAC,M,19/01/2011,3060,NA,NA,NA,NA
CLSH015,Australia,W-PAC,F,19/01/2011,2860,NA,NA,NA,NA
CLSH016-M,Australia,W-PAC,M,25/01/2011,2890,NA,NA,NA,NA
CLSH017,Australia,W-PAC,M,12/02/2011,2880,NA,NA,NA,NA
CLSH018-F,Australia,W-PAC,F,27/01/2011,2150,NA,NA,NA,NA
CLSH019,Australia,W-PAC,M,25/01/2011,3120,NA,NA,NA,NA
CLSH020-F,Australia,W-PAC,F,3/03/2011,2960,NA,NA,NA,NA
CLSH021-F,Australia,W-PAC,F,9/01/2012,2780,DUP010,NA,NA,NA
CLSH022-F,Australia,W-PAC,F,9/01/2012,2940,NA,NA,NA,NA
CLSH023-F,Australia,W-PAC,F,10/01/2012,3050,NA,NA,HS026,NA
CLSH024-F,Australia,W-PAC,F,18/01/2012,3020,NA,NA,NA,NA
CLSH025-M,Australia,W-PAC,M,24/01/2012,2630,NA,NA,NA,NA
CLSH026-F,Australia,W-PAC,F,24/01/2012,2740,NA,NA,NA,NA
CLSH027-F,Australia,W-PAC,F,25/01/2012,3020,NA,NA,NA,NA
CLSH029-M,Australia,W-PAC,M,31/01/2012,2580,NA,NA,NA,NA
CLSH030,Australia,W-PAC,M,25/01/2012,2660,NA,NA,NA,NA
CLSH031-M,Australia,W-PAC,M,17/01/2013,2480,NA,NA,NA,NA
CLSH032-F,Australia,W-PAC,F,25/01/2012,2470,NA,NA,NA,NA
CLSH033-M,Australia,W-PAC,M,30/01/2012,2600,NA,NA,NA,NA
CLSH034-F,Australia,W-PAC,F,16/01/2013,2640,NA,NA,NA,NA
CLSH035-M,Australia,W-PAC,M,9/02/2012,2020,NA,NA,NA,NA
CLSH036-M,Australia,W-PAC,M,16/01/2013,2790,NA,NA,NA,NA
CLSH037,Australia,W-PAC,M,17/01/2013,2750,NA,NA,NA,NA
CLSH038-M,Australia,W-PAC,M,1/03/2016,2730,NA,NA,NA,NA
CLSH039-M,Australia,W-PAC,M,1/03/2016,2490,NA,NA,NA,NA
CLSH040-M,Australia,W-PAC,M,3/03/2016,2880,NA,NA,NA,NA
CLSH041-M,Australia,W-PAC,M,3/03/2016,2800,NA,NA,NA,NA
CLSH043-F,Australia,W-PAC,F,13/02/2017,2310,NA,NA,NA,NA
CLSH044-M,Australia,W-PAC,M,13/02/2017,3000,NA,NA,NA,NA
CLSH047-F,Australia,W-PAC,F,27/02/2017,2710,NA,NA,NA,NA
CLSH048-M,Australia,W-PAC,M,1/03/2017,2820,NA,NA,NA,NA
CLSH049-M,Australia,W-PAC,M,2/03/2017,2780,NA,NA,NA,NA
CLSH050-M,Australia,W-PAC,M,11/01/2018,2040,NA,NA,NA,NA
CLSH051-M,Australia,W-PAC,M,18/01/2018,2700,NA,NA,NA,NA
CLSH053-M,Australia,W-PAC,M,24/01/2018,2700,NA,NA,NA,NA
CLSH055-M,Australia,W-PAC,M,15/02/2018,2850,NA,NA,NA,NA
CLSH056,Australia,W-PAC,M,15/02/2018,2910,NA,NA,NA,NA
CLSH057,Australia,W-PAC,M,15/02/2018,2920,NA,NA,NA,NA
CLSH058-M,Australia,W-PAC,M,21/02/2018,2550,NA,NA,NA,NA
CLSH059-F,Australia,W-PAC,F,21/02/2018,2920,NA,NA,NA,NA
CLSH060-M,Australia,W-PAC,M,22/02/2018,2490,NA,NA,NA,NA
CLSH061,Australia,W-PAC,M,27/02/2018,2700,NA,NA,HS026,NA
